Signal_ID,Date,Time,Timestamp,Signal,Prediction,Confidence,Confidence_Bucket,Spot,Strike,OptionType,Target_Nifty,SL_Nifty,Prob_Down,Prob_Side,Prob_Up,XGB_Down,XGB_Side,XGB_Up,LSTM_Down,LSTM_Side,LSTM_Up,Models_Agree,PCR,Equity_Ret,OI_Support,OI_Resistance,Dir_Score,Dir_Verdict,RSI_5m,ADX_5m,MACD_Hist_5m,EMA_Spread,Volatility,Prev_Signal,Signal_Duration_Min,Outcome,Actual_Move_5m,Actual_Move_15m,Actual_Move_30m,Max_Favorable,Max_Adverse,Time_To_Result_Min
21,2026-03-30,10:20:01,2026-03-30T10:20:01.758016,BUY PE,DOWN,44.7,LOW,22555.6,22500,PE,22463.0,22602.0,44.7,27.6,27.7,45.4,21.1,33.4,43.6,37.2,19.2,YES,1.16,-0.092,22500,23000,1.7,SIDEWAYS / NEUTRAL,30.5,37.1,-2.984,-0.2929,0.206,BUY PE,3.0,EXPIRED,,,,5.9,0,3.0
22,2026-03-30,10:23:00,2026-03-30T10:23:00.300241,BUY PE,DOWN,48.6,MED,22549.7,22550,PE,22459.0,22595.0,48.6,24.5,27.0,46.9,19.7,33.3,51.0,31.6,17.4,YES,1.15,-0.12,22500,23000,1.1,SIDEWAYS / NEUTRAL,30.2,36.9,-2.512,-0.2914,0.201,BUY PE,1.0,EXPIRED,,,,8.4,0,1.0
23,2026-03-30,10:23:59,2026-03-30T10:23:59.538680,BUY PE,DOWN,44.8,LOW,22541.35,22500,PE,22450.0,22587.0,44.8,24.5,30.7,41.3,19.3,39.4,50.1,32.3,17.6,YES,1.15,-0.141,22500,23000,0.8,SIDEWAYS / NEUTRAL,29.3,37.0,-3.454,-0.2994,0.201,BUY PE,4.0,EXPIRED,0.003,,,0,0.7,4.0
24,2026-03-30,10:27:59,2026-03-30T10:27:59.866417,BUY PE,DOWN,45.3,MED,22542.05,22550,PE,22453.0,22587.0,45.3,20.9,33.8,41.8,13.7,44.5,50.6,31.8,17.7,NO,1.12,-0.235,22500,23000,1.1,SIDEWAYS / NEUTRAL,30.1,37.0,-2.334,-0.2937,0.198,BUY PE,1.1,EXPIRED,,,,0,0.5,1.1
25,2026-03-30,10:29:02,2026-03-30T10:29:02.386697,BUY PE,DOWN,42.7,LOW,22542.55,22500,PE,22455.0,22587.0,42.7,23.1,34.2,41.1,13.8,45.1,45.2,37.0,17.8,NO,1.1,-0.233,22500,23000,0.9,SIDEWAYS / NEUTRAL,29.5,37.0,-2.615,-0.2964,0.196,BUY PE,5.0,EXPIRED,-0.092,,,20.7,0,5.0
26,2026-03-30,10:34:02,2026-03-30T10:34:02.231707,BUY PE,DOWN,39.4,LOW,22521.85,22450,PE,22436.0,22565.0,39.4,25.3,35.4,33.7,18.9,47.4,47.9,34.9,17.2,NO,1.09,-0.166,22500,23000,0.2,SIDEWAYS / NEUTRAL,27.8,37.3,-3.315,-0.306,0.192,BUY PE,1.0,EXPIRED,,,,0,6.5,1.0
27,2026-03-30,10:35:00,2026-03-30T10:35:00.381326,BUY CE,UP,40.2,LOW,22528.3,22600,CE,22615.0,22485.0,31.1,28.7,40.2,29.6,19.7,50.6,33.2,42.2,24.6,NO,1.08,-0.142,22500,23000,0.5,SIDEWAYS / NEUTRAL,29.2,37.4,-3.068,-0.3043,0.194,BUY PE,1.0,EXPIRED,,,,9.0,0,1.0
28,2026-03-30,10:36:01,2026-03-30T10:36:01.758258,BUY PE,DOWN,36.2,LOW,22537.3,22500,PE,22450.0,22581.0,36.2,29.7,34.1,38.7,22.1,39.2,32.5,41.2,26.3,NO,1.08,-0.111,22500,23000,1.1,SIDEWAYS / NEUTRAL,30.1,37.4,-2.211,-0.2972,0.194,BUY CE,3.0,EXPIRED,,,,0,8.9,3.0
29,2026-03-30,10:38:59,2026-03-30T10:38:59.745572,BUY CE,UP,46.1,MED,22546.2,22550,CE,22632.0,22503.0,30.1,23.7,46.1,32.4,13.2,54.4,26.7,39.5,33.8,NO,1.05,-0.076,22500,23000,2.2,SIDEWAYS / NEUTRAL,32.3,37.2,-0.25,-0.2846,0.19,BUY PE,1.0,EXPIRED,,,,0,8.8,1.0
30,2026-03-30,10:39:59,2026-03-30T10:39:59.900494,BUY PE,DOWN,45.5,MED,22537.4,22550,PE,22452.0,22580.0,45.5,21.9,32.5,42.5,14.6,42.9,50.1,32.9,17.0,NO,1.05,-0.106,22500,23000,1.8,SIDEWAYS / NEUTRAL,31.0,37.1,-0.131,-0.2825,0.189,BUY CE,1.0,EXPIRED,,,,0,10.4,1.0
